deck_url,deck_name,placing,card_code,card_name,qty
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-098,Monkey.D.Luffy,1
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-108,Nami,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP05-106,Shura,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP11-106,Zeus,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-113,Roronoa Zoro,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,ST29-009,Nico Robin,3
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-102,Gan.Fall,3
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-107,Tony Tony.Chopper,1
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP12-099,Kalgara,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-114,Wyper,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-119,Monkey.D.Luffy,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,EB04-058,Borsalino,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-109,Nico Robin,4
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,EB02-052,Enel,3
https://onepiece.limitlesstcg.com/decks/list/6353,Yellow Luffyby Kevin Pires,1,OP15-116,Gum-Gum Golden Rifle,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-058,Enel,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP12-071,Charlotte Pudding,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-061,Ohm,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-067,Shura,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-066,Satori,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-071,Holly,3
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP12-063,Vinsmoke Reiju,3
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,ST10-010,Trafalgar Law,2
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP09-072,Franky,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP10-067,Senor Pink,2
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-118,Enel,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP07-064,Sanji,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-075,El Thor,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-076,Lightning Beast Kiten,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-077,Lightning Dragon,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-078,Mamaragan,4
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP13-076,Divine Departure,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP15-074,Varie,1
https://onepiece.limitlesstcg.com/decks/list/6387,Purple Enelby Roy Choi,2,OP05-077,Gamma Knife,3
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP11-041,Nami,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP14-102,Kumacy,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP11-106,Zeus,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,P-096,Girl,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP15-047,Sanji,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP14-110,Dr. Hogback,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP14-111,Perona,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP06-104,Kikunojo,3
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP12-112,Baby 5,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP15-113,Roronoa Zoro,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,EB03-053,Nami,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,EB04-058,Borsalino,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP14-108,Silvers Rayleigh,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,EB03-055,Nico Robin,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP14-104,Gecko Moria,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby moy,3,OP13-042,Edward.Newgate,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP11-041,Nami,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP14-102,Kumacy,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP11-106,Zeus,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,P-096,Girl,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP15-047,Sanji,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP14-110,Dr. Hogback,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP14-111,Perona,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP06-104,Kikunojo,3
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP12-112,Baby 5,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP15-113,Roronoa Zoro,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,EB03-053,Nami,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,EB04-058,Borsalino,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP14-108,Silvers Rayleigh,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,EB03-055,Nico Robin,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP14-104,Gecko Moria,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby Gerardo Lopez,4,OP13-042,Edward.Newgate,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP11-041,Nami,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP14-102,Kumacy,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP11-106,Zeus,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,P-096,Girl,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP15-047,Sanji,1
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP14-110,Dr. Hogback,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP14-111,Perona,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP06-104,Kikunojo,3
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP12-112,Baby 5,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP15-113,Roronoa Zoro,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,EB03-053,Nami,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,EB04-058,Borsalino,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP14-108,Silvers Rayleigh,2
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,EB03-055,Nico Robin,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP14-104,Gecko Moria,4
https://onepiece.limitlesstcg.com/decks/list/6272,Blue/Yellow Namiby JT Lara,5,OP13-042,Edward.Newgate,4
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP15-058,Enel,1
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP12-071,Charlotte Pudding,4
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP15-061,Ohm,4
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP15-067,Shura,4
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP15-066,Satori,2
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP12-063,Vinsmoke Reiju,4
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,ST10-010,Trafalgar Law,2
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP09-072,Franky,1
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP10-067,Senor Pink,2
https://onepiece.limitlesstcg.com/decks/list/6377,Purple Enelby Kevin Zhao,6,OP15-118,Enel,4
